"KundenadressePLZ","Ort","Land","Sum(Totalbetrag)","adresse","coordinate","latitude","longitude"
5223,"Riniken","Schweiz",663.75,"5223 Riniken, Schweiz","47.4937943 8.1862591",47.4937943,8.1862591
5225,"Oberbözberg","Schweiz",3508.0500000000006,"5225 Oberbözberg, Schweiz","47.4975379 8.1568872",47.4975379,8.1568872
5232,,,350.0,,,,
5234,"Villigen","Schweiz",2229.35,"5234 Villigen, Schweiz","47.5342983 8.2070747",47.5342983,8.2070747
5235,"Rüfenach AG","Schweiz",564.85,"5235 Rüfenach AG, Schweiz","47.5087096 8.206711499999999",47.5087096,8.206711499999999
5236,"Remigen","Schweiz",396.8,"5236 Remigen, Schweiz","47.5157263 8.1891195",47.5157263,8.1891195
5237,"Mönthal","Schweiz",185.2,"5237 Mönthal, Schweiz","47.5170805 8.1446086",47.5170805,8.1446086
5242,"Birr","Schweiz",4623.549999999999,"5242 Birr, Schweiz","47.43635440000001 8.2059141",47.43635440000001,8.2059141
5243,"Mülligen","Schweiz",1358.0,"5243 Mülligen, Schweiz","47.4504072 8.2403721",47.4504072,8.2403721
5244,"Birrhard","Schweiz",283.45,"5244 Birrhard, Schweiz","47.432565 8.244018800000001",47.432565,8.244018800000001
5245,"Habsburg","Schweiz",1002.7499999999999,"5245 Habsburg, Schweiz","47.4590835 8.1883535",47.4590835,8.1883535
5246,"Scherz","Schweiz",571.0999999999999,"5246 Scherz, Schweiz","47.4472086 8.1818971",47.4472086,8.1818971
5272,"Gansingen","Schweiz",3069.3999999999996,"5272 Gansingen, Schweiz","47.5394015 8.1357169",47.5394015,8.1357169
5273,"Oberhofen AG","Schweiz",905.3000000000001,"5273 Oberhofen AG, Schweiz","47.5574155 8.1257187",47.5574155,8.1257187
5274,"Mettau","Schweiz",258.85,"5274 Mettau, Schweiz","47.56384569999999 8.1271002",47.56384569999999,8.1271002
5275,"Etzgen","Schweiz",875.65,"5275 Etzgen, Schweiz","47.5732225 8.112042599999999",47.5732225,8.112042599999999
5276,"Wil AG","Schweiz",4225.449999999999,"5276 Wil AG, Schweiz","47.5606389 8.1523217",47.5606389,8.1523217
5277,"Hottwil","Schweiz",1146.3000000000002,"5277 Hottwil, Schweiz","47.5473933 8.162285299999999",47.5473933,8.162285299999999
5300,"Turgi","Schweiz",2789.5000000000005,"5300 Turgi, Schweiz","47.4939287 8.2530348",47.4939287,8.2530348
5301,"Siggenthal Station","Schweiz",461.3,"5301 Siggenthal Station, Schweiz","47.51654740000001 8.2391223",47.51654740000001,8.2391223
5303,"Würenlingen","Schweiz",3464.2,"5303 Würenlingen, Schweiz","47.5308686 8.2546816",47.5308686,8.2546816
5304,"Endingen","Schweiz",3224.85,"5304 Endingen, Schweiz","47.5282817 8.2904051",47.5282817,8.2904051
