Postleitzahl,Ort,Kanton,Land
1676,Chavannes-les-Forts,Freiburg,Schweiz
1677,Prez-vers-Siviriez,Freiburg,Schweiz
1678,Siviriez,Freiburg,Schweiz
1679,Villaraboud,Freiburg,Schweiz
1680,Berlens,Freiburg,Schweiz
1681,Billens,Freiburg,Schweiz
1682,Villars-Bramard,Waadt,Schweiz
1683,Brenles,Waadt,Schweiz
1684,Mézières FR,Freiburg,Schweiz
1685,Villariaz,Freiburg,Schweiz
1686,Grangettes-près-Romont,Freiburg,Schweiz
1687,Estévenens,Freiburg,Schweiz
1688,Sommentier,Freiburg,Schweiz
1689,Le Châtelard-près-Romont,Freiburg,Schweiz
1690,Lussy FR,Freiburg,Schweiz
1691,Villarimboud,Freiburg,Schweiz
1692,Massonnens,Freiburg,Schweiz
1694,Orsonnens,Freiburg,Schweiz
1695,Villarlod,Freiburg,Schweiz
1696,Vuisternens-en-Ogoz,Freiburg,Schweiz
1697,La Joux FR,Freiburg,Schweiz
1699,Bouloz,Freiburg,Schweiz
1700,Fribourg,Freiburg,Schweiz
1708,Fribourg,Freiburg,Schweiz
1712,Tafers,Freiburg,Schweiz
1713,St. Antoni,Freiburg,Schweiz
1714,Heitenried,Freiburg,Schweiz
1715,Alterswil FR,Freiburg,Schweiz
1716,Oberschrot,Freiburg,Schweiz
1717,St. Ursen,Freiburg,Schweiz
1718,Rechthalten,Freiburg,Schweiz
1719,Zumholz,Freiburg,Schweiz
1720,Chésopelloz,Freiburg,Schweiz
1721,Cormérod,Freiburg,Schweiz
1722,Bourguillon,Freiburg,Schweiz
1723,Marly,Freiburg,Schweiz
1724,Bonnefontaine,Freiburg,Schweiz
1725,Posieux,Freiburg,Schweiz
1726,Farvagny-le-Petit,Freiburg,Schweiz
1727,Magnedens,Freiburg,Schweiz
1728,Rossens FR,Freiburg,Schweiz
1730,Ecuvillens,Freiburg,Schweiz
1731,Ependes FR,Freiburg,Schweiz
1732,Arconciel,Freiburg,Schweiz
1733,Treyvaux,Freiburg,Schweiz
1734,Tentlingen,Freiburg,Schweiz
1735,Giffers,Freiburg,Schweiz
1736,St. Silvester,Freiburg,Schweiz
1737,Plasselb,Freiburg,Schweiz
1738,Sangernboden,Bern,Schweiz
1740,Neyruz FR,Freiburg,Schweiz
1741,Cottens FR,Freiburg,Schweiz
1742,Autigny,Freiburg,Schweiz
1744,Chénens,Freiburg,Schweiz
1745,Lentigny,Freiburg,Schweiz
1746,Prez-vers-Noréaz,Freiburg,Schweiz
1747,Corserey,Freiburg,Schweiz
1748,Torny-le-Grand,Freiburg,Schweiz
1749,Middes,Freiburg,Schweiz
1752,Villars-sur-Glâne,Freiburg,Schweiz
1753,Matran,Freiburg,Schweiz
1754,Rosé,Freiburg,Schweiz
1756,Onnens FR,Freiburg,Schweiz
1757,Noréaz,Freiburg,Schweiz
1762,Givisiez,Freiburg,Schweiz
1763,Granges-Paccot,Freiburg,Schweiz
1772,Ponthaux,Freiburg,Schweiz
1773,Léchelles,Freiburg,Schweiz
1774,Montagny-les-Monts,Freiburg,Schweiz
1775,Mannens,Freiburg,Schweiz
1776,Montagny-la-Ville,Freiburg,Schweiz
1782,Autafond,Freiburg,Schweiz
1783,Pensier,Freiburg,Schweiz
1784,Cournillens,Freiburg,Schweiz
1785,Cressier FR,Freiburg,Schweiz
1786,Sugiez,Freiburg,Schweiz
1787,Môtier (Vully),Freiburg,Schweiz
1788,Praz (Vully),Freiburg,Schweiz
1789,Lugnorre,Freiburg,Schweiz
1791,Courtaman,Freiburg,Schweiz
1792,Guschelmuth,Freiburg,Schweiz
1793,Jeuss,Freiburg,Schweiz
1794,Salvenach,Freiburg,Schweiz
1795,Courlevon,Freiburg,Schweiz
1796,Courgevaux,Freiburg,Schweiz
1797,Münchenwiler,Bern,Schweiz
1800,Vevey,Waadt,Schweiz
