"ID";"Name";"Strasse";"PLZ";"Ort";"Adresse";"coordinate";"latitude";"longitude"
185;"LANDI Zugerland";"Gewerbestrasse 1";6314;"Unterägeri";"Gewerbestrasse 1, Unterägeri, Switzerland";"47.1351553 8.574502599999999";47.1351553;8.574502599999999
186;"LANDI Hünenberg";"Chamerstrasse 46";6331;"Hünenberg";"Chamerstrasse 46, Hünenberg, Switzerland";"47.1789888 8.4315488";47.1789888;8.4315488
187;"LANDI Zugerland";"Poststrasse 3";6343;"Rotkreuz";"Poststrasse 3, Rotkreuz, Switzerland";"47.14185810000001 8.4279722";47.14185810000001;8.4279722
188;"LANDI Unterwalden AG";"Unter Sagi 2";6362;"Stansstad";"Unter Sagi 2, Stansstad, Switzerland";"46.97380150000001 8.3467425";46.97380150000001;8.3467425
189;"LANDI Küssnacht AG";"Zugerstrasse 4";6403;"Küssnacht am Rigi";"Zugerstrasse 4, Küssnacht am Rigi, Switzerland";"47.0924497 8.4488956";47.0924497;8.4488956
190;"LANDI Schwyz";"Steinbislin 9";6423;"Seewen SZ";"Steinbislin 9, Seewen SZ, Switzerland";"47.0334098 8.6288608";47.0334098;8.6288608
191;"LANDI Uri AG";"Umfahrungsstrasse 24";6467;"Schattdorf";"Umfahrungsstrasse 24, Schattdorf, Switzerland";"46.8574053 8.639215799999999";46.8574053;8.639215799999999
192;"LANDI Graubünden AG";"Via Isla 55";7151;"Schluein";"Via Isla 55, Schluein, Switzerland";"46.7790135 9.21889";46.7790135;9.21889
193;"LANDI Graubünden AG";"Löserstrasse 11";7302;"Landquart";"Löserstrasse 11, Landquart, Switzerland";"46.9551855 9.5620237";46.9551855;9.5620237
194;"LANDI Graubünden AG";"Provisorium an der Werkallee 1";7430;"Thusis";"Provisorium an der Werkallee 1, Thusis, Switzerland";"46.703209 9.442178";46.703209;9.442178
195;"LANDI Furt- und Limmattal Genossenschaft";"Breitestrasse 15";8106;"Adlikon";"Breitestrasse 15, Adlikon, Switzerland";"47.4491686 8.4645785";47.4491686;8.4645785
196;"LANDI Maur Genossenschaft";"Rellikonstrasse 3";8124;"Maur";"Rellikonstrasse 3, Maur, Switzerland";"47.3399694 8.6707442";47.3399694;8.6707442
197;"LANDI Schleinikon";"Dorfstrasse 18";8165;"Schleinikon";"Dorfstrasse 18, Schleinikon, Switzerland";"47.4976764 8.395330399999999";47.4976764;8.395330399999999
198;"LANDI Züri Unterland";"Wehntalerstrasse 38";8181;"Höri";"Wehntalerstrasse 38, Höri, Switzerland";"47.5093997 8.5124411";47.5093997;8.5124411
199;"LANDI Surb Genossenschaft";"Kaiserstuhlerstrasse 44";8187;"Weiach";"Kaiserstuhlerstrasse 44, Weiach, Switzerland";"47.5620621 8.429205999999999";47.5620621;8.429205999999999
200;"LANDI Züri Unterland";"Schaffhauserstrasse 41";8193;"Eglisau";"Schaffhauserstrasse 41, Eglisau, Switzerland";"47.5811797 8.5164475";47.5811797;8.5164475
201;"GVS Landi AG";"Gennersbrunnerstrasse 65";8207;"Schaffhausen";"Gennersbrunnerstrasse 65, Schaffhausen, Switzerland";"47.7165617 8.66522";47.7165617;8.66522
202;"LANDI Hallau / Oberhallau";"Grüntalstrasse 7";8215;"Hallau";"Grüntalstrasse 7, Hallau, Switzerland";"47.69595169999999 8.4638083";47.69595169999999;8.4638083
203;"LANDI Wilchingen";"Hauptstrasse 85";8217;"Wilchingen";"Hauptstrasse 85, Wilchingen, Switzerland";"47.6673821 8.4698321";47.6673821;8.4698321
204;"GVS Landi AG";"Werkstrasse 15";8222;"Beringen";"Werkstrasse 15, Beringen, Switzerland";"47.6940172 8.5714994";47.6940172;8.5714994
205;"LANDI Schleitheim Genossenschaft";"Randenstrasse";8226;"Schleitheim";"Randenstrasse, Schleitheim, Switzerland";"47.75074 8.49048";47.75074;8.49048
206;"LANDI Thayngen";"Blumenweg 8";8240;"Thayngen";"Blumenweg 8, Thayngen, Switzerland";"47.72302920000001 8.6616123";47.72302920000001;8.6616123
207;"LANDI Markt Diessenhofen";"Basadingerstrasse 50a";8253;"Diessenhofen";"Basadingerstrasse 50a, Diessenhofen, Switzerland";"47.681035 8.749684";47.681035;8.749684
208;"LANDI Untersee und Rhy";"Hauptstrasse 15";8264;"Eschenz";"Hauptstrasse 15, Eschenz, Switzerland";"47.6445312 8.9131774";47.6445312;8.9131774
209;"LANDI Mittelthurgau";"Bahnhofstrasse 10";8272;"Ermatingen";"Bahnhofstrasse 10, Ermatingen, Switzerland";"47.6693976 9.0859553";47.6693976;9.0859553
210;"LANDI Markt AG Kreuzlingen";"Tägerwilerstrasse 6";8280;"Kreuzlingen";"Tägerwilerstrasse 6, Kreuzlingen, Switzerland";"47.6556016 9.163186099999999";47.6556016;9.163186099999999
211;"LG Kloten / Landwirtschaftliche Genossenschaft Kloten";"Dorfstrasse 59";8302;"Kloten";"Dorfstrasse 59, Kloten, Switzerland";"47.4521403 8.588957599999999";47.4521403;8.588957599999999
212;"LANDI Zola AG";"Usterstrasse 27";8308;"Illnau";"Usterstrasse 27, Illnau, Switzerland";"47.407145 8.7236567";47.407145;8.7236567
213;"LANDI Züri Unterland";"Eigentalstrasse 51";8309;"Nürensdorf";"Eigentalstrasse 51, Nürensdorf, Switzerland";"47.453384 8.6353698";47.453384;8.6353698
214;"LANDI Zola AG";"Kempttalstrasse 90";8330;"Pfäffikon ZH";"Kempttalstrasse 90, Pfäffikon ZH, Switzerland";"47.3710082 8.7765714";47.3710082;8.7765714
215;"LANDI Bachtel Genossenschaft";"Adetswilerstrasse 16a";8344;"Bäretswil";"Adetswilerstrasse 16a, Bäretswil, Switzerland";"47.3379175 8.8543836";47.3379175;8.8543836
216;"LANDI Eulachtal Genossenschaft";"St. Gallerstrasse 6";8352;"Elsau";"St. Gallerstrasse 6, Elsau, Switzerland";"47.50010570000001 8.786029899999999";47.50010570000001;8.786029899999999
217;"LANDI Tannzapfenland Genossenschaft";"Tanneggerstrasse 4";8374;"Dussnang";"Tanneggerstrasse 4, Dussnang, Switzerland";"47.4306645 8.9563386";47.4306645;8.9563386
218;"LANDI Neftenbach AG";"Zürichstrasse 44";8413;"Neftenbach";"Zürichstrasse 44, Neftenbach, Switzerland";"47.5217638 8.6575743";47.5217638;8.6575743
219;"LANDI Züri Unterland";"Lagerhausweg 4";8424;"Embrach";"Lagerhausweg 4, Embrach, Switzerland";"47.5008269 8.597492299999999";47.5008269;8.597492299999999
220;"LANDI Buchberg-Rüdlingen";"Winkelweg 4";8454;"Buchberg";"Winkelweg 4, Buchberg, Switzerland";"47.5731725 8.560295800000002";47.5731725;8.560295800000002
221;"LANDI Weinland Genossenschaft";"Güeterstrass 3";8460;"Marthalen";"Güeterstrass 3, Marthalen, Switzerland";"47.6348115 8.655002900000001";47.6348115;8.655002900000001
222;"LANDI Dägerlen u. Umgebung";"Dorfstrasse 12";8471;"Rutschwil-Dägerlen";"Dorfstrasse 12, Rutschwil-Dägerlen, Switzerland";"47.5595937 8.7269867";47.5595937;8.7269867
223;"LANDI Stammertal Genossenschaft";"Amtacker 2";8476;"Unterstammheim";"Amtacker 2, Unterstammheim, Switzerland";"47.6305076 8.7861859";47.6305076;8.7861859
224;"LANDI Wisligzäller Genossenschaft";"Dorfstrasse 9";8484;"Weisslingen";"Dorfstrasse 9, Weisslingen, Switzerland";"47.4300084 8.7644586";47.4300084;8.7644586
225;"LANDI Wila-Turbenthal";"St. Gallerstrasse 18";8488;"Turbenthal";"St. Gallerstrasse 18, Turbenthal, Switzerland";"47.4341492 8.8530149";47.4341492;8.8530149
226;"LANDI Seerücken Genossenschaft";"Hauptstrasse 21";8507;"Hörhausen";"Hauptstrasse 21, Hörhausen, Switzerland";"47.6362396 8.973404";47.6362396;8.973404
227;"LANDI Thurland Genossenschaft";"Schaffhauserstrasse 5";8524;"Uesslingen";"Schaffhauserstrasse 5, Uesslingen, Switzerland";"47.5796087 8.833312";47.5796087;8.833312
228;"LANDI Hüttwilen und Umgebung";"im Winkel 4";8536;"Hüttwilen";"im Winkel 4, Hüttwilen, Switzerland";"47.6078129 8.8691594";47.6078129;8.8691594
229;"LANDI Eulachtal Genossenschaft";"Spycherweg 5";8542;"Wiesendangen";"Spycherweg 5, Wiesendangen, Switzerland";"47.52074169999999 8.7909606";47.52074169999999;8.7909606
230;"LANDI Weinland Genossenschaft";"Grüterstrasse 2";8545;"Rickenbach";"Grüterstrasse 2, Rickenbach, Switzerland";"47.5524279 8.7945092";47.5524279;8.7945092
